folder,kernel_type,execution_mode,matrix_size,sim_seconds,l1d_cache_accesses,l1i_cache_accesses,l2_cache_accesses,mem_total_accesses,pim_conf_accesses,mem_dram_read_hits,mem_dram_read_misses,mem_dram_write_hits,mem_dram_write_misses,pim_dram_read_hits,pim_dram_read_misses,pim_dram_write_hits,pim_dram_write_misses,lsq_total_mem_insts,lsq_total_cycles,lsq_avg_cycles
add_acc_1024x1024,add,acc,1024x1024,0.6040000000000001,12,2636,16,25629,31,15,2,0,0,15266,1126,7118,1074,25659,1184194,46.151214
add_acc_128x128,add,acc,128x128,0.012,8,61,16,420,28,16,1,0,0,239,18,110,18,440,18752,42.618182
add_acc_256x256,add,acc,256x256,0.04,8,181,16,1620,28,16,1,0,0,956,69,442,70,1640,74271,45.287195
add_acc_512x512,add,acc,512x512,0.15,8,661,16,6420,28,16,1,0,0,3815,282,1780,268,6440,296708,46.072671
add_no_acc_opt_1024x1024,add,no_acc_opt,1024x1024,2.003,524292,528918,98325,136664,0,90888,7450,35453,2872,0,0,0,0,524804,430102,0.819548
add_no_acc_opt_128x128,add,no_acc_opt,128x128,0.031,8196,8281,1547,516,0,481,35,0,0,0,0,0,0,8203,6495,0.791783
add_no_acc_opt_256x256,add,no_acc_opt,256x256,0.12300000000000001,32772,33076,6165,2061,0,1923,138,0,0,0,0,0,0,32804,24356,0.74247
add_no_acc_opt_512x512,add,no_acc_opt,512x512,0.5,131076,132246,24597,38360,0,22758,1852,12692,1056,0,0,0,0,131204,107106,0.816332
gemv_acc_1024x2048,gemv,acc,1024x2048,1.359,54931,24896,15,22672,8333,15,1,0,0,14159,4273,4,2044,100257,1280793,12.775098
gemv_acc_128x128,gemv,acc,128x128,0.030000000000000002,1000,374,15,208,1053,15,1,0,0,116,28,19,16,2358,27120,11.501272
gemv_acc_2048x4096,gemv,acc,2048x4096,5.098,210709,96079,15,90384,16653,15,1,0,0,56612,17116,18,8192,375075,4816007,12.840117
gemv_acc_4096x8192,gemv,acc,4096x8192,19.772000000000002,823829,382548,15,360976,33293,15,1,0,0,226178,68734,4,32764,1447459,18698240,12.917976
gemv_acc_512x512,gemv,acc,512x512,0.235,8662,3538,15,2896,4173,15,1,0,0,1768,536,4,252,17508,219024,12.509938
gemv_no_acc_opt_1024x2048,gemv,no_acc_opt,1024x2048,3.812,1049605,1058837,65755,73858,0,60882,4738,7373,814,0,0,0,0,1049605,652895,0.622039
gemv_no_acc_opt_128x128,gemv,no_acc_opt,128x128,0.031,8325,9490,120,7,0,6,1,0,0,0,0,0,0,8325,4562,0.547988
gemv_no_acc_opt_2048x4096,gemv,no_acc_opt,2048x4096,15.165,4196357,4214813,262577,270637,0,244100,18308,7415,771,0,0,0,0,4196358,2563938,0.610991
gemv_no_acc_opt_4096x8192,gemv,no_acc_opt,4096x8192,63.181000000000004,16781317,16818221,1172691,1058065,0,979301,70527,7455,733,0,0,0,0,16781320,12995354,0.774394
gemv_no_acc_opt_512x512,gemv,no_acc_opt,512x512,0.47100000000000003,131589,136210,8282,1611,0,217,56,696,92,0,0,0,0,131589,69516,0.528281
mul_acc_1024x1024,mul,acc,1024x1024,775.947,30607887,12888387,32789,11706374,8519693,4118,28618,7167,1007,7284606,2152578,4093,1044483,58133021,728943660,12.539236
mul_acc_128x128,mul,acc,128x128,3.9779999999999998,126362,41572,101,24592,133133,15,1,0,0,14449,3983,526,1540,298412,3680394,12.333264
mul_acc_256x256,mul,acc,256x256,19.916,706099,256702,2069,188432,532493,15,1,0,0,114622,32834,1018,15384,1541701,18478905,11.98605
mul_acc_512x512,mul,acc,512x512,119.757,4432995,1761561,8213,1475782,2129933,214,75,454,146,905835,273813,2022,129068,8954993,112012394,12.508373
mul_no_acc_opt_1024x1024,mul,no_acc_opt,1024x1024,2041.01,537920516,547365929,33755137,33678308,0,31469690,2167614,36882,4045,0,0,0,0,537921028,414793300,0.771104
mul_no_acc_opt_128x128,mul,no_acc_opt,128x128,3.992,1065092,1213148,19656,513,0,396,117,0,0,0,0,0,0,1065099,576090,0.540879
mul_no_acc_opt_256x256,mul,no_acc_opt,256x256,30.651999999999997,8454404,9045540,534595,2058,0,1791,267,0,0,0,0,0,0,8454436,4411482,0.521795
mul_no_acc_opt_512x512,mul,no_acc_opt,512x512,241.961,67371524,69733924,4246785,870203,0,779761,68057,13295,2943,0,0,0,0,67371652,36470180,0.541328
