folder,sim_seconds,cache_accesses,mem_total_accesses,lsq_total_mem_insts,lsq_total_cycles,lsq_avg_cycles
add_no_acc_128x128,0.000151,49156,514,49163,34214,0.69593
add_no_acc_256x256,0.000605,196612,9334,196644,141909,0.721654
add_no_acc_512x512,0.002414,786436,35354,786564,570486,0.725289
add_no_acc_1024x1024,0.009638,3145732,133665,3146244,2278583,0.724223
add_no_acc_opt_128x128,0.000151,49156,514,49163,33830,0.688119
add_no_acc_opt_256x256,0.000605,196612,9333,196644,141563,0.719895
add_no_acc_opt_512x512,0.002415,786436,35359,786564,571126,0.726102
add_no_acc_opt_1024x1024,0.009638,3145732,133673,3146244,2278791,0.724289
add_all_cores_128x128,8.7e-05,10268,598,10763,58096,5.397752
add_all_cores_256x256,0.000302,37628,1774,39371,222151,5.642503
add_all_cores_512x512,0.001165,147073,6418,153808,876286,5.697272
add_all_cores_1024x1024,0.004614,584913,25044,611632,3495261,5.714647
mul_no_acc_128x128,0.02084,6340612,515,6340626,10931596,1.724056
mul_no_acc_256x256,0.173552,50528260,7146,50528324,96681161,1.913405
mul_no_acc_512x512,3.639781,403439620,135540097,403439876,3126866298,7.750514
mul_no_acc_1024x1024,48.241228,3224371204,1076986870,3224372228,45113244328,13.991326
mul_no_acc_opt_128x128,0.004429,1073156,516,1073291,4380036,4.08094
mul_no_acc_opt_256x256,0.036454,8486916,12079,8487204,42216953,4.974189
mul_no_acc_opt_512x512,0.862828,67502084,33684656,67502724,1505410147,22.301473
mul_no_acc_opt_1024x1024,11.30272,538443780,268952699,538445316,20952160982,38.912328
mul_all_cores_128x128,0.038117,6906573,151258,7594749,23230873,3.058807
mul_all_cores_256x256,0.190846,34833617,680221,38208768,115786724,3.030371
mul_all_cores_512x512,1.061352,197003473,3312777,215484678,636934237,2.955821
mul_all_cores_1024x1024,6.625186,1249382609,17973675,1363415297,3933349807,2.884924
